    i,  t(s),    U(V),   I(mA), Tself, Tprob
  370,   571,  0.5002, -0.0009,  20.6, 263.2
  371,   572,  0.4730, -0.0009,  20.6, 249.9
  372,   572,  0.4643, -0.0009,  20.6, 245.7
  373,   572,  0.4576, -0.0009,  20.6, 242.4
  374,   573,  0.4484, -0.0009,  20.6, 237.9
  375,   573,  0.4405, -0.0009,  20.6, 234.1
  376,   573,  0.4348, -0.0009,  20.6, 231.2
  377,   574,  0.4304, -0.0009,  20.6, 229.1
  378,   574,  0.4263, -0.0009,  20.6, 227.1
  379,   574,  0.4229, -0.0012,  20.6, 225.4
  380,   575,  0.4199, -0.0012,  20.6, 223.9
  381,   575,  0.4167, -0.0012,  20.6, 222.4
  382,   575,  0.4134, -0.0012,  20.6, 220.7
  383,   576,  0.4105, -0.0009,  20.6, 219.3
  384,   576,  0.4087, -0.0009,  20.6, 218.4
  385,   576,  0.4122, -0.0009,  20.6, 220.1
  386,   577,  0.4177, -0.0009,  20.6, 222.9
  387,   577,  0.4241, -0.0009,  20.6, 226.0
  388,   577,  0.4316, -0.0009,  20.6, 229.7
  389,   578,  0.4355, -0.0009,  20.6, 231.6
  390,   578,  0.4394, -0.0009,  20.6, 233.5
  391,   578,  0.4483, -0.0009,  20.6, 237.9
  392,   579,  0.4561, -0.0009,  20.6, 241.7
  393,   579,  0.4354, -0.0012,  20.6, 231.5
  394,   579,  0.4220, -0.0012,  20.6, 225.0
  395,   580,  0.4301, -0.0012,  20.6, 228.9
  396,   580,  0.4392, -0.0012,  20.6, 233.4
  397,   580,  0.4422, -0.0009,  20.6, 234.9
  398,   581,  0.4432, -0.0009,  20.6, 235.4
  399,   581,  0.4420, -0.0009,  20.6, 234.8
  400,   581,  0.4405, -0.0009,  20.6, 234.1
  401,   582,  0.4388, -0.0009,  20.6, 233.2
  402,   582,  0.4373, -0.0009,  20.6, 232.5
  403,   582,  0.4370, -0.0009,  20.6, 232.3
  404,   583,  0.4373, -0.0009,  20.6, 232.5
  405,   583,  0.4376, -0.0009,  20.6, 232.6
  406,   583,  0.4380, -0.0009,  20.6, 232.8
  407,   584,  0.4383, -0.0009,  20.6, 232.9
  408,   584,  0.4382, -0.0009,  20.6, 232.9
  409,   584,  0.4380, -0.0009,  20.6, 232.8
  410,   585,  0.4382, -0.0009,  20.6, 232.9
  411,   585,  0.4386, -0.0009,  20.6, 233.1
  412,   585,  0.4391, -0.0009,  20.6, 233.3
  413,   586,  0.4390, -0.0009,  20.6, 233.3
  414,   586,  0.4379, -0.0009,  20.6, 232.7
  415,   586,  0.4367, -0.0009,  20.6, 232.2
  416,   587,  0.4354, -0.0009,  20.6, 231.5
  417,   587,  0.4348, -0.0009,  20.6, 231.2
  418,   587,  0.4344, -0.0009,  20.6, 231.0
  419,   588,  0.4343, -0.0009,  20.6, 231.0
  420,   588,  0.4352, -0.0009,  20.6, 231.4
  421,   588,  0.4381, -0.0009,  20.6, 232.8
  422,   589,  0.4167, -0.0012,  20.6, 222.4
  423,   589,  0.4172, -0.0012,  20.6, 222.6
  424,   589,  0.4149, -0.0012,  20.6, 221.4
  425,   590,  0.4161, -0.0012,  20.6, 222.0
  426,   590,  0.4093, -0.0009,  20.6, 218.7
  427,   590,  0.4042, -0.0009,  20.6, 216.2
  428,   591,  0.4037, -0.0009,  20.6, 215.9
  429,   591,  0.4053, -0.0009,  20.6, 216.7
  430,   591,  0.4043, -0.0009,  20.6, 216.2
  431,   592,  0.3901, -0.0009,  20.6, 209.2
  432,   592,  0.3610, -0.0009,  20.6, 194.9
  433,   592,  0.3363, -0.0009,  20.6, 182.7
  434,   593,  0.3131, -0.0009,  20.6, 171.3
  435,   593,  0.2912, -0.0009,  20.6, 160.6
  436,   593,  0.2684, -0.0009,  20.6, 149.6
  437,   594,  0.2519, -0.0009,  20.6, 141.6
  438,   594,  0.2373, -0.0009,  20.6, 134.6
  439,   594,  0.2234, -0.0009,  20.6, 128.0
  440,   595,  0.2099, -0.0009,  20.6, 121.5
  441,   595,  0.1970, -0.0012,  20.6, 115.4
  442,   595,  0.1892, -0.0012,  20.6, 111.7
  443,   596,  0.2073, -0.0012,  20.6, 120.3
  444,   596,  0.2514, -0.0012,  20.6, 141.4
  445,   596,  0.2708, -0.0009,  20.6, 150.7
  446,   597,  0.2437, -0.0009,  20.6, 137.7
  447,   597,  0.2202, -0.0009,  20.6, 126.4
  448,   597,  0.2306, -0.0009,  20.6, 131.4
  449,   598,  0.2632, -0.0009,  20.6, 147.0
  450,   598,  0.2335, -0.0009,  20.6, 132.8
  451,   598,  0.2161, -0.0009,  20.6, 124.4
  452,   599,  0.2335, -0.0009,  20.6, 132.8
  453,   599,  0.2572, -0.0012,  20.6, 144.2
  454,   599,  0.2758, -0.0012,  20.6, 153.1
  455,   600,  0.2890, -0.0012,  20.6, 159.5
  456,   600,  0.2843, -0.0012,  20.6, 157.3
  457,   600,  0.2698, -0.0009,  20.6, 150.3
  458,   601,  0.2601, -0.0009,  20.6, 145.6
  459,   601,  0.2772, -0.0009,  20.6, 153.8
  460,   601,  0.2856, -0.0009,  20.6, 157.9
  461,   602,  0.2906, -0.0009,  20.6, 160.3
  462,   602,  0.2951, -0.0009,  20.6, 162.5
  463,   602,  0.2991, -0.0012,  20.6, 164.5
  464,   603,  0.3025, -0.0012,  20.6, 166.1
  465,   603,  0.3059, -0.0012,  20.6, 167.8
  466,   603,  0.3085, -0.0012,  20.6, 169.1
  467,   604,  0.3106, -0.0009,  20.6, 170.1
  468,   604,  0.3043, -0.0009,  20.6, 167.0
  469,   604,  0.2727, -0.0009,  20.6, 151.6
  470,   605,  0.2484, -0.0009,  20.6, 139.9
  471,   605,  0.2287, -0.0009,  20.6, 130.5
  472,   605,  0.2126, -0.0009,  20.6, 122.8
  473,   606,  0.1990, -0.0009,  20.6, 116.3
  474,   606,  0.1866, -0.0009,  20.6, 110.4
  475,   606,  0.1756, -0.0009,  20.6, 105.2
  476,   607,  0.1652, -0.0009,  20.6, 100.3
  477,   607,  0.1538, -0.0012,  20.6,  94.9
  478,   607,  0.1439, -0.0014,  20.6,  90.2
  479,   608,  0.1353, -0.0014,  20.5,  86.0
  480,   608,  0.1271, -0.0014,  20.5,  82.1
  481,   608,  0.1193, -0.0012,  20.5,  78.4
  482,   609,  0.1117, -0.0009,  20.6,  74.9
  483,   609,  0.1051, -0.0009,  20.6,  71.7
  484,   609,  0.0997, -0.0009,  20.6,  69.1
  485,   610,  0.0940, -0.0009,  20.6,  66.4
  486,   610,  0.0891, -0.0009,  20.6,  64.1
  487,   610,  0.0853, -0.0009,  20.6,  62.2
  488,   611,  0.0821, -0.0012,  20.5,  60.6
  489,   611,  0.0793, -0.0012,  20.5,  59.3
  490,   611,  0.0771, -0.0012,  20.5,  58.2
  491,   612,  0.0743, -0.0012,  20.5,  56.8
  492,   612,  0.0719, -0.0009,  20.5,  55.7
  493,   612,  0.0698, -0.0009,  20.5,  54.7
