X,CH1,CH2,
Second,Volt,Volt,
9.52019e-02,0.00e+00,0.00e+00,
9.56020e-02,7.99e-02,0.00e+00,
9.60020e-02,7.99e-02,7.99e-02,
9.64020e-02,0.00e+00,0.00e+00,
9.68020e-02,0.00e+00,0.00e+00,
9.72020e-02,7.99e-02,7.99e-02,
9.76020e-02,0.00e+00,0.00e+00,
9.80019e-02,7.99e-02,7.99e-02,
9.84019e-02,0.00e+00,0.00e+00,
9.88019e-02,7.99e-02,7.99e-02,
9.92019e-02,0.00e+00,0.00e+00,
9.96019e-02,7.99e-02,0.00e+00,
1.00002e-01,0.00e+00,0.00e+00,
1.00402e-01,7.99e-02,7.99e-02,
1.00802e-01,0.00e+00,0.00e+00,
1.01202e-01,7.99e-02,7.99e-02,
1.01602e-01,0.00e+00,0.00e+00,
1.02002e-01,7.99e-02,7.99e-02,
1.02402e-01,0.00e+00,0.00e+00,
1.02802e-01,7.99e-02,0.00e+00,
1.03202e-01,7.99e-02,0.00e+00,
1.03602e-01,0.00e+00,7.99e-02,
1.04002e-01,0.00e+00,0.00e+00,
1.04402e-01,7.99e-02,0.00e+00,
1.04802e-01,0.00e+00,0.00e+00,
1.05202e-01,7.99e-02,7.99e-02,
1.05602e-01,0.00e+00,0.00e+00,
1.06002e-01,7.99e-02,7.99e-02,
1.06402e-01,0.00e+00,0.00e+00,
1.06802e-01,7.99e-02,7.99e-02,
1.07202e-01,7.99e-02,0.00e+00,
1.07602e-01,0.00e+00,7.99e-02,
1.08002e-01,7.99e-02,0.00e+00,
1.08402e-01,0.00e+00,0.00e+00,
1.08802e-01,0.00e+00,0.00e+00,
1.09202e-01,7.99e-02,7.99e-02,
1.09602e-01,7.99e-02,0.00e+00,
1.10002e-01,0.00e+00,7.99e-02,
1.10402e-01,0.00e+00,7.99e-02,
1.10802e-01,0.00e+00,0.00e+00,
1.11202e-01,0.00e+00,0.00e+00,
1.11602e-01,7.99e-02,7.99e-02,
1.12002e-01,0.00e+00,0.00e+00,
1.12402e-01,7.99e-02,0.00e+00,
1.12802e-01,7.99e-02,7.99e-02,
1.13202e-01,0.00e+00,0.00e+00,
1.13602e-01,0.00e+00,0.00e+00,
1.14002e-01,7.99e-02,7.99e-02,
1.14402e-01,0.00e+00,0.00e+00,
1.14802e-01,7.99e-02,7.99e-02,
1.15202e-01,0.00e+00,0.00e+00,
1.15602e-01,0.00e+00,0.00e+00,
